"Issue ID","Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Priority","Labels"
"EP1","Epic","EP-01: Plataforma segura e integración con el ecosistema AVEIT","Contrato de integración; identidad; padrón; permisos; observabilidad y acceso seguro a datos legados.","EP-01 Plataforma e integración","","","","integracion"
"EP2","Epic","EP-02: Apertura y ciclo procesal del expediente","Creación T01; competencias; numeración; historial y seis estados reglamentarios; notificación inicial.","EP-02 Apertura y ciclo procesal","","","","expedientes"
"EP3","Epic","EP-03: Descargos, evidencia y plazos hábiles","Cómputo de cinco días hábiles; T02; T03; evidencia protegida y origen reglamentario de sanciones.","EP-03 Descargos y plazos","","","","descargos"
"EP4","Epic","EP-04: Sustanciación, decisión y resolución colegiada","Revisión probatoria; apartamientos/suplencias; votación nominal y resolución fundada.","EP-04 Decisión colegiada","","","","tribunal"
"EP5","Epic","EP-05: Firma, emisión y libro mayor inmutable","Firma por representación de socios Activos; emisión; notificaciones; puntos idempotentes; portal y alertas.","EP-05 Emisión y puntos","","","","ledger"
"EP6","Epic","EP-06: Auditoría, reconciliación y homologación","Balances del art. 137; migración/reconciliación; calidad; staging; transferencia y antecedentes.","EP-06 Auditoría y cierre","","","","auditoria"
"S1-01","Spike","S1-01: Definir contrato de integración y fuente maestra","Objetivo: decidir convivencia o reemplazo y documentar una ADR aprobada por Cómputos. CA1 inventario de APIs/tablas/versiones y propietarios validado; CA2 Socio, roles, PuntajeAplicado y PuntajeGeneral tienen fuente maestra definida; CA3 estrategia de escritura, rollback, privacidad y SLA documentada. Dependencia: acceso técnico al legado. Trazabilidad: documento modulo-tribunal-stack-y-modelos(2).md.","","EP1","2","Highest","sprint-1"
"S1-02","Task","S1-02: Baseline reproducible, healthchecks y secretos externos","CA1 Compose levanta frontend, backend y MySQL compatibles sin claves versionadas; CA2 healthchecks verifican aplicación y base; CA3 CI ejecuta lint y tests y publica resultado; CA4 existe .env.example sin secretos. Dependencia: S1-01 para parámetros de integración.","","EP1","2","Highest","sprint-1"
"S1-03","Story","S1-03: Autenticación y autorización compatibles con roles AVEIT","Como integrante de AVEIT quiero iniciar sesión y recibir sólo las funciones autorizadas para proteger información disciplinaria. CA1 credenciales inválidas devuelven 401 sin filtrar datos; CA2 permisos legados tribunal_bajo/medio/alto y cargos se mapean a RBAC documentado; CA3 las rutas verifican autorización de servidor y no sólo visibilidad UI; CA4 sesión/token expira y se audita sin registrar secretos.","","EP1","5","Highest","sprint-1"
"S1-04","Story","S1-04: Consumir el padrón institucional sin duplicar la fuente maestra","Como autoridad quiero consultar socios y subcomisiones vigentes desde la fuente institucional para evitar divergencias. CA1 adaptador de sólo lectura o réplica controlada definido por ADR; CA2 legajo y socio tienen identidad estable; CA3 la categoría Pasivo equivale a Junior y comprende 1.º–3.º, mientras Activo equivale a Senior y comprende 4.º–6.º; CA4 la vigencia de cuenta/membresía se modela por separado; CA5 fallas/sincronizaciones quedan observables. Trazabilidad: decisión PO 08/09/2026 y Estatuto 2026 arts. 3 y 6.","","EP1","3","Highest","sprint-1"
"S1-05","Story","S1-05: Ranking oficial reconciliado con el libro histórico","Como TD/CD quiero ordenar y filtrar el saldo verificable de los socios para supervisar su situación. CA1 saldo se deriva de PuntajeAplicado o fuente acordada; CA2 PuntajeGeneral se compara como caché y las diferencias se informan; CA3 filtros por categoría Pasivo/Activo y subcomisión, sin confundir categoría con vigencia; CA4 p95 menor o igual a 500 ms con 515 socios; CA5 importes usan decimal.","","EP1","5","Highest","sprint-1"
"S1-06","Story","S1-06: Buscar por nombre, legajo y subcomisión y abrir legajo","Como autoridad quiero localizar un socio y consultar su historial autorizado para investigar antecedentes. CA1 búsqueda insensible a mayúsculas/tildes; CA2 incluye legajo universitario de la fuente correcta; CA3 pagina resultados y evita N+1; CA4 un socio ordinario no accede a legajos ajenos; CA5 funciona en móvil 360 px.","","EP1","3","High","sprint-1"
"S2-01","Story","S2-01: Crear expediente con número único e historial de seis estados","Como integrante habilitado quiero abrir y seguir un expediente con trazabilidad completa. CA1 número único y correlativo; CA2 implementa exactamente los seis estados del art. 12; CA3 cada transición registra actor fecha y motivo y rechaza saltos; CA4 concurrencia no duplica numeración. Dependencia: S1-03/S1-04.","","EP2","3","Highest","sprint-2"
"S2-02","Story","S2-02: Cargar y validar T01 con anexo opcional","Como autoridad competente quiero presentar un T01 digital para iniciar formalmente la acción. CA1 captura campos exigidos por art. 16; CA2 el anexo del art. 16 bis es opcional y su ausencia no bloquea; CA3 validaciones se ejecutan en cliente y servidor; CA4 borrador no abre expediente ni notifica; CA5 emisión conserva versión inmutable.","","EP2","5","Highest","sprint-2"
"S2-03","Story","S2-03: Validar competencias de inicio de acción","Como sistema quiero comprobar la competencia del solicitante para impedir acciones improcedentes. CA1 reglas arts. 21–26 están parametrizadas y testeadas; CA2 rechazo explica regla sin exponer información ajena; CA3 excepciones requieren autoridad y motivo auditado; CA4 casos límite forman parte de pruebas de dominio.","","EP2","3","Highest","sprint-2"
"S2-04","Story","S2-04: Notificar apertura con entrega y reintentos auditables","Como socio imputado quiero recibir el acuse y enlace seguro para ejercer mi defensa. CA1 la transición al período de justificaciones ocurre sólo con evento de despacho acordado; CA2 plantilla identifica expediente sin datos médicos; CA3 fallo reintenta sin duplicar notificaciones y queda visible a operador; CA4 enlace exige autenticación; CA5 fecha base del plazo queda inmutable.","","EP2","5","Highest","sprint-2"
"S2-05","Story","S2-05: Visualizar tablero responsive de seis estados","Como TD quiero ver expedientes agrupados por estado reglamentario para priorizar trabajo. CA1 seis columnas/agrupaciones exactas; CA2 filtros por número socio fecha y estado; CA3 movimiento sólo invoca transiciones autorizadas; CA4 teclado lector de pantalla y móvil no pierden funcionalidad; CA5 no usa colores arbitrarios fuera de DESIGN.md.","","EP2","2","High","sprint-2"
"S3-01","Story","S3-01: Configurar calendario institucional de días hábiles","Como administrador autorizado quiero mantener feriados/excepciones para que los plazos sean reproducibles. CA1 fines de semana y feriados se excluyen; CA2 cambios tienen vigencia versión y auditoría; CA3 un plazo iniciado conserva la versión aplicada; CA4 zona horaria America/Argentina/Buenos_Aires.","","EP3","3","Highest","sprint-3"
"S3-02","Story","S3-02: Calcular y cerrar el plazo de cinco días hábiles","Como socio quiero conocer el vencimiento exacto y presentar mientras el plazo esté vigente. CA1 cálculo parte del evento definido en S2-04; CA2 servidor acepta hasta el instante límite y rechaza después; CA3 UI muestra fecha/hora además de contador; CA4 vencimiento transiciona una sola vez aunque el job se repita; CA5 pruebas cubren feriados y cambio de día.","","EP3","3","Highest","sprint-3"
"S3-03","Story","S3-03: Presentar T02 tipificado y firmado","Como socio imputado quiero completar el T02 estructurado para justificar con una causal prevista. CA1 contiene los cuatro bloques del art. 17; CA2 sólo permite causales vigentes y conserva versión; CA3 requiere firma aclaración y número de socio según mecanismo aprobado; CA4 permite guardar borrador y enviar una única versión final; CA5 acuse de recepción sin revelar datos sensibles.","","EP3","5","Highest","sprint-3"
"S3-04","Story","S3-04: Adjuntar y custodiar evidencia protegida","Como socio quiero aportar evidencia desde móvil sin que terceros accedan a datos sensibles. CA1 PDF/JPG/PNG hasta 5 MB por archivo y límites configurables; CA2 valida tipo real nombre seguro y malware cuando infraestructura lo permita; CA3 acceso por objeto sólo a partes autorizadas; CA4 descarga queda auditada; CA5 la UI advierte que la aceptación digital no reemplaza automáticamente el original médico del art. 102.","","EP3","3","Highest","sprint-3"
"S3-05","Story","S3-05: Presentar T03 extraordinario con fundamento libre","Como socio imputado quiero exponer una causal no tipificada para que el TD la valore fundadamente. CA1 distingue T03 de T02; CA2 texto y evidencia quedan versionados al enviar; CA3 respeta el mismo plazo y controles de acceso; CA4 el TD debe vincular fundamento/precedente al decidir.","","EP3","3","High","sprint-3"
"S3-06","Story","S3-06: Incorporar sanciones originadas en reuniones y solicitudes","Como autoridad competente quiero transformar asistencia y solicitudes aprobadas en propuestas trazables. CA1 valida publicación de reunión con dos días hábiles y reporte dentro de 72 horas hábiles; CA2 no sanciona eventos que no cumplen requisitos; CA3 escala admite valores de 0,5 incluido 1,5; CA4 cada tres apercibimientos generan -1 una sola vez; CA5 integración no escribe saldo manualmente. Trazabilidad: Reglamento Interno arts. 83 85 95 99 y 100.","","EP3","2","High","sprint-3"
